x_resol,y_resol,w_values,h_values,target
320,240,216,216,27
320,240,213,213,30
320,240,214,214,29
320,240,220,220,27
320,240,220,220,27
320,240,212,212,24
320,240,217,217,27
320,240,216,216,25
320,240,217,217,25
320,240,215,215,28
320,240,217,217,25
320,240,225,225,24
352,288,66,66,125
352,288,65,65,131
352,288,61,61,123
352,288,61,61,123
352,288,62,62,129
352,288,61,61,124
352,288,60,60,124
352,288,60,60,123
352,288,58,58,124
352,288,59,59,125
352,288,59,59,125
352,288,57,57,125
352,288,54,54,124
352,288,56,56,127
352,288,56,56,128
352,288,55,55,131
352,288,53,53,132
352,288,52,52,135
352,288,52,52,138
352,288,49,49,141
352,288,49,49,144
352,288,50,50,145
352,288,49,49,148
352,288,48,48,150
352,288,47,47,152
352,288,46,46,155
352,288,46,46,158
352,288,46,46,160
352,288,44,44,163
352,288,44,44,167
352,288,43,43,170
352,288,42,42,172
352,288,42,42,175
352,288,42,42,178
352,288,43,43,181
352,288,43,43,185
352,288,42,42,191
352,288,39,39,193
352,288,40,40,197
352,288,41,41,199
352,288,41,41,200
352,288,38,38,202
352,288,38,38,205
352,288,40,40,206
352,288,40,40,210
352,288,40,40,214
352,288,38,38,216
352,288,39,39,218
352,288,39,39,219
352,288,38,38,220
352,288,37,37,221
352,288,38,38,222
352,288,39,39,222
352,288,39,39,224
352,288,38,38,225
352,288,38,38,226
352,288,40,40,227
352,288,39,39,227
352,288,39,39,227
352,288,40,40,227
352,288,41,41,226
352,288,42,42,225
352,288,41,41,224
352,288,41,41,222
352,288,42,42,221
352,288,41,41,218
352,288,42,42,217
352,288,40,40,215
352,288,39,39,214
352,288,40,40,214
640,480,136,136,82
640,480,129,129,84
640,480,136,136,86
640,480,134,134,86
640,480,136,136,87
640,480,140,140,87
640,480,141,141,88
640,480,142,142,89
640,480,139,139,89
640,480,137,137,89
640,480,139,139,89
640,480,138,138,89
640,480,138,138,89
640,480,140,140,89
640,480,134,134,89
640,480,138,138,90
640,480,130,130,90
640,480,130,130,92
640,480,124,124,94
640,480,128,128,95
640,480,129,129,96
640,480,124,124,98
640,480,124,124,98
640,480,121,121,100
640,480,121,121,102
640,480,121,121,104
640,480,118,118,106
640,480,119,119,107
640,480,114,114,108
640,480,114,114,110
640,480,112,112,111
640,480,112,112,112
640,480,109,109,114
640,480,110,110,116
640,480,110,110,118
640,480,111,111,118
640,480,106,106,120
640,480,105,105,120
640,480,103,103,120
640,480,108,108,121
640,480,103,103,121
640,480,106,106,121
640,480,105,105,122
640,480,103,103,123
640,480,105,105,124
640,480,100,100,125
640,480,100,100,126
640,480,103,103,128
640,480,102,102,129
640,480,102,102,130
640,480,102,102,131
640,480,99,99,133
640,480,97,97,134
640,480,102,102,136
640,480,97,97,136
640,480,93,93,138
640,480,92,92,140
640,480,95,95,141
640,480,91,91,142
640,480,95,95,143
640,480,90,90,145
640,480,91,91,146
640,480,89,89,146
640,480,90,90,147
640,480,89,89,147
640,480,86,86,149
640,480,90,90,150
640,480,87,87,151
640,480,81,81,153
640,480,85,85,154
640,480,85,85,156
640,480,83,83,156
640,480,81,81,157
640,480,82,82,159
640,480,82,82,160
640,480,82,82,161
640,480,78,78,163
640,480,80,80,164
640,480,77,77,165
640,480,79,79,166
640,480,78,78,168
640,480,77,77,169
640,480,79,79,169
640,480,76,76,170
640,480,76,76,171
640,480,74,74,173
640,480,76,76,174
640,480,72,72,176
640,480,70,70,178
640,480,71,71,180
640,480,74,74,181
640,480,72,72,183
640,480,69,69,185
640,480,69,69,186
640,480,70,70,187
640,480,68,68,188
640,480,67,67,189
640,480,69,69,188
640,480,69,69,191
640,480,68,68,191
640,480,68,68,193
640,480,65,65,193
640,480,66,66,194
640,480,65,65,196
640,480,64,64,196
640,480,64,64,198
640,480,64,64,249
640,480,64,64,205
640,480,63,63,210
640,480,63,63,204
640,480,65,65,210
640,480,61,61,214
640,480,62,62,207
640,480,61,61,207
640,480,61,61,207
640,480,60,60,206
640,480,61,61,205
640,480,63,63,202
640,480,62,62,198
640,480,62,62,195
640,480,63,63,191
640,480,64,64,191
640,480,65,65,188
640,480,68,68,187
640,480,65,65,186
640,480,68,68,185
640,480,68,68,183
640,480,70,70,181
640,480,69,69,177
640,480,70,70,175
640,480,70,70,172
640,480,70,70,168
640,480,71,71,164
640,480,74,74,161
640,480,74,74,157
640,480,77,77,155
640,480,78,78,152
640,480,79,79,150
640,480,83,83,148
640,480,85,85,149
640,480,85,85,147
640,480,90,90,146
640,480,90,90,145
640,480,89,89,144
640,480,91,91,142
640,480,90,90,141
640,480,94,94,141
640,480,94,94,139
640,480,91,91,138
640,480,95,95,136
640,480,99,99,134
640,480,103,103,131
640,480,99,99,129
640,480,97,97,127
640,480,105,105,125
640,480,98,98,123
640,480,101,101,121
640,480,106,106,120
640,480,105,105,119
640,480,110,110,117
640,480,107,107,116
640,480,111,111,115
640,480,114,114,114
640,480,111,111,113
640,480,110,110,112
640,480,115,115,112
640,480,113,113,111
